QID,POM-Struc-Total-Dist,POM-Struc-Cont-Dist,POM-Struc-Pres-Dist,POM-Histo-Abs-Dist,POM-Histo-Rel-Dist,POM-Histo-Cos-Dist,POM-Histo-EarthMov-Dist,POM-Content-Histo-Abs-Dist,POM-Content-Histo-Rel-Dist,POM-Content-Histo-Cos-Dist,POM-Content-Histo-EarthMov-Dist,SnuggleTeX-Struc-Total-Dist,SnuggleTeX-Struc-Cont-Dist,SnuggleTeX-Struc-Pres-Dist,SnuggleTeX-Histo-Abs-Dist,SnuggleTeX-Histo-Rel-Dist,SnuggleTeX-Histo-Cos-Dist,SnuggleTeX-Histo-EarthMov-Dist,SnuggleTeX-Content-Histo-Abs-Dist,SnuggleTeX-Content-Histo-Rel-Dist,SnuggleTeX-Content-Histo-Cos-Dist,SnuggleTeX-Content-Histo-EarthMov-Dist,LatexML-Struc-Total-Dist,LatexML-Struc-Cont-Dist,LatexML-Struc-Pres-Dist,LatexML-Histo-Abs-Dist,LatexML-Histo-Rel-Dist,LatexML-Histo-Cos-Dist,LatexML-Histo-EarthMov-Dist,LatexML-Content-Histo-Abs-Dist,LatexML-Content-Histo-Rel-Dist,LatexML-Content-Histo-Cos-Dist,LatexML-Content-Histo-EarthMov-Dist,Mathematical-Struc-Total-Dist,Mathematical-Struc-Cont-Dist,Mathematical-Struc-Pres-Dist,Mathematical-Histo-Abs-Dist,Mathematical-Histo-Rel-Dist,Mathematical-Histo-Cos-Dist,Mathematical-Histo-EarthMov-Dist,Mathematical-Content-Histo-Abs-Dist,Mathematical-Content-Histo-Rel-Dist,Mathematical-Content-Histo-Cos-Dist,Mathematical-Content-Histo-EarthMov-Dist,MathToWeb-Struc-Total-Dist,MathToWeb-Struc-Cont-Dist,MathToWeb-Struc-Pres-Dist,MathToWeb-Histo-Abs-Dist,MathToWeb-Histo-Rel-Dist,MathToWeb-Histo-Cos-Dist,MathToWeb-Histo-EarthMov-Dist,MathToWeb-Content-Histo-Abs-Dist,MathToWeb-Content-Histo-Rel-Dist,MathToWeb-Content-Histo-Cos-Dist,MathToWeb-Content-Histo-EarthMov-Dist,Latex2MML-Struc-Total-Dist,Latex2MML-Struc-Cont-Dist,Latex2MML-Struc-Pres-Dist,Latex2MML-Histo-Abs-Dist,Latex2MML-Histo-Rel-Dist,Latex2MML-Histo-Cos-Dist,Latex2MML-Histo-EarthMov-Dist,Latex2MML-Content-Histo-Abs-Dist,Latex2MML-Content-Histo-Rel-Dist,Latex2MML-Content-Histo-Cos-Dist,Latex2MML-Content-Histo-EarthMov-Dist,TeXZilla-Struc-Total-Dist,TeXZilla-Struc-Cont-Dist,TeXZilla-Struc-Pres-Dist,TeXZilla-Histo-Abs-Dist,TeXZilla-Histo-Rel-Dist,TeXZilla-Histo-Cos-Dist,TeXZilla-Histo-EarthMov-Dist,TeXZilla-Content-Histo-Abs-Dist,TeXZilla-Content-Histo-Rel-Dist,TeXZilla-Content-Histo-Cos-Dist,TeXZilla-Content-Histo-EarthMov-Dist,Mathoid-Struc-Total-Dist,Mathoid-Struc-Cont-Dist,Mathoid-Struc-Pres-Dist,Mathoid-Histo-Abs-Dist,Mathoid-Histo-Rel-Dist,Mathoid-Histo-Cos-Dist,Mathoid-Histo-EarthMov-Dist,Mathoid-Content-Histo-Abs-Dist,Mathoid-Content-Histo-Rel-Dist,Mathoid-Content-Histo-Cos-Dist,Mathoid-Content-Histo-EarthMov-Dist,Mathematica-Struc-Total-Dist,Mathematica-Struc-Cont-Dist,Mathematica-Struc-Pres-Dist,Mathematica-Histo-Abs-Dist,Mathematica-Histo-Rel-Dist,Mathematica-Histo-Cos-Dist,Mathematica-Histo-EarthMov-Dist,Mathematica-Content-Histo-Abs-Dist,Mathematica-Content-Histo-Rel-Dist,Mathematica-Content-Histo-Cos-Dist,Mathematica-Content-Histo-EarthMov-Dist
62,23.0,,10.0,,,,,,,,,18.0,,5.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,15.0,,4.0,,,,,,,,,17.0,,4.0,,,,,,,,,18.0,,5.0,,,,,,,,,14.0,,3.0,,,,,,,,,14.0,,3.0,,,,,,,,,14.0,10.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
63,117.0,,64.0,,,,,,,,,87.0,,34.0,,,,,,,,,39.0,31.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,,,,,,,,,,,,80.0,,27.0,,,,,,,,,89.0,,36.0,,,,,,,,,118.0,,66.0,,,,,,,,,81.0,,29.0,,,,,,,,,,,,,,,,,,,
64,14.0,,5.0,,,,,,,,,11.0,,2.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,7.0,,0.0,,,,,,,,,10.0,,1.0,,,,,,,,,10.0,,1.0,,,,,,,,,7.0,,0.0,,,,,,,,,7.0,,0.0,,,,,,,,,7.0,4.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
65,34.0,,16.0,,,,,,,,,28.0,,10.0,,,,,,,,,10.0,7.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,21.0,,4.0,,,,,,,,,22.0,,4.0,,,,,,,,,23.0,,5.0,,,,,,,,,21.0,,4.0,,,,,,,,,19.0,,2.0,,,,,,,,,10.0,4.0,4.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
66,86.0,,40.0,,,,,,,,,68.0,,22.0,,,,,,,,,20.0,15.0,3.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,62.0,,17.0,,,,,,,,,56.0,,10.0,,,,,,,,,64.0,,18.0,,,,,,,,,70.0,,25.0,,,,,,,,,63.0,,18.0,,,,,,,,,37.0,28.0,7.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
67,66.0,,30.0,,,,,,,,,48.0,,12.0,,,,,,,,,14.0,12.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,42.0,,7.0,,,,,,,,,44.0,,8.0,,,,,,,,,44.0,,8.0,,,,,,,,,42.0,,7.0,,,,,,,,,44.0,,9.0,,,,,,,,,44.0,30.0,12.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
68,50.0,,23.0,,,,,,,,,36.0,,9.0,,,,,,,,,14.0,12.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,30.0,,4.0,,,,,,,,,30.0,,3.0,,,,,,,,,36.0,,9.0,,,,,,,,,29.0,,3.0,,,,,,,,,33.0,,8.0,,,,,,,,,27.0,22.0,3.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
69,90.0,,39.0,,,,,,,,,84.0,,41.0,,,,,,,,,51.0,26.0,23.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,68.0,,18.0,,,,,,,,,69.0,,18.0,,,,,,,,,88.0,,47.0,,,,,,,,,67.0,,17.0,,,,,,,,,78.0,,28.0,,,,,,,,,166.0,75.0,89.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
70,147.0,,79.0,,,,,,,,,109.0,,41.0,,,,,,,,,24.0,22.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,108.0,,41.0,,,,,,,,,107.0,,39.0,,,,,,,,,110.0,,42.0,,,,,,,,,100.0,,33.0,,,,,,,,,77.0,,10.0,,,,,,,,,111.0,56.0,53.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
71,21.0,,8.0,,,,,,,,,14.0,,1.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,12.0,,1.0,,,,,,,,,14.0,,1.0,,,,,,,,,15.0,,2.0,,,,,,,,,11.0,,0.0,,,,,,,,,11.0,,0.0,,,,,,,,,9.0,7.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
72,96.0,,52.0,,,,,,,,,74.0,,30.0,,,,,,,,,22.0,19.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,60.0,,17.0,,,,,,,,,58.0,,14.0,,,,,,,,,79.0,,36.0,,,,,,,,,56.0,,13.0,,,,,,,,,59.0,,16.0,,,,,,,,,,,,,,,,,,,
73,43.0,,19.0,,,,,,,,,31.0,,7.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,25.0,,2.0,,,,,,,,,27.0,,3.0,,,,,,,,,33.0,,9.0,,,,,,,,,25.0,,2.0,,,,,,,,,25.0,,3.0,,,,,,,,,18.0,13.0,3.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
74,43.0,,22.0,,,,,,,,,31.0,,10.0,,,,,,,,,10.0,8.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,27.0,,7.0,,,,,,,,,27.0,,6.0,,,,,,,,,26.0,,5.0,,,,,,,,,27.0,,7.0,,,,,,,,,25.0,,5.0,,,,,,,,,12.0,9.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
75,60.0,,31.0,,,,,,,,,45.0,,16.0,,,,,,,,,19.0,11.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,40.0,,12.0,,,,,,,,,42.0,,13.0,,,,,,,,,43.0,,14.0,,,,,,,,,39.0,,11.0,,,,,,,,,35.0,,7.0,,,,,,,,,30.0,17.0,11.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
76,70.0,,29.0,,,,,,,,,47.0,,6.0,,,,,,,,,10.0,8.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,45.0,,5.0,,,,,,,,,46.0,,5.0,,,,,,,,,50.0,,9.0,,,,,,,,,44.0,,4.0,,,,,,,,,47.0,,7.0,,,,,,,,,25.0,21.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
77,14.0,,5.0,,,,,,,,,11.0,,1.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,10.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,9.0,,0.0,,,,,,,,,9.0,,1.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
78,14.0,,5.0,,,,,,,,,11.0,,1.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,10.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,9.0,,0.0,,,,,,,,,9.0,,1.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
79,72.0,,37.0,,,,,,,,,52.0,,18.0,,,,,,,,,35.0,24.0,9.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,51.0,,17.0,,,,,,,,,54.0,,19.0,,,,,,,,,53.0,,18.0,,,,,,,,,49.0,,15.0,,,,,,,,,50.0,,16.0,,,,,,,,,,,,,,,,,,,
80,32.0,,17.0,,,,,,,,,29.0,,14.0,,,,,,,,,10.0,7.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,22.0,,8.0,,,,,,,,,23.0,,8.0,,,,,,,,,24.0,,9.0,,,,,,,,,21.0,,7.0,,,,,,,,,14.0,,1.0,,,,,,,,,14.0,9.0,3.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
81,58.0,,26.0,,,,,,,,,42.0,,10.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,39.0,,8.0,,,,,,,,,42.0,,10.0,,,,,,,,,44.0,,12.0,,,,,,,,,40.0,,9.0,,,,,,,,,34.0,,3.0,,,,,,,,,36.0,23.0,11.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
82,50.0,,23.0,,,,,,,,,43.0,,16.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,31.0,,5.0,,,,,,,,,31.0,,4.0,,,,,,,,,39.0,,12.0,,,,,,,,,30.0,,4.0,,,,,,,,,31.0,,5.0,,,,,,,,,,,,,,,,,,,
83,16.0,,10.0,,,,,,,,,18.0,,13.0,,,,,,,,,36.0,16.0,18.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,18.0,,11.0,,,,,,,,,18.0,,12.0,,,,,,,,,18.0,,12.0,,,,,,,,,18.0,,11.0,,,,,,,,,26.0,,20.0,,,,,,,,,8.0,2.0,4.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
84,93.0,,46.0,,,,,,,,,73.0,,26.0,,,,,,,,,24.0,22.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,57.0,,11.0,,,,,,,,,55.0,,8.0,,,,,,,,,72.0,,25.0,,,,,,,,,61.0,,15.0,,,,,,,,,62.0,,16.0,,,,,,,,,,,,,,,,,,,
85,42.0,,20.0,,,,,,,,,32.0,,10.0,,,,,,,,,10.0,7.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,25.0,,4.0,,,,,,,,,26.0,,4.0,,,,,,,,,26.0,,4.0,,,,,,,,,25.0,,4.0,,,,,,,,,25.0,,4.0,,,,,,,,,18.0,12.0,4.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
86,99.0,,49.0,,,,,,,,,78.0,,28.0,,,,,,,,,10.0,8.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,75.0,,26.0,,,,,,,,,67.0,,17.0,,,,,,,,,87.0,,37.0,,,,,,,,,64.0,,15.0,,,,,,,,,69.0,,20.0,,,,,,,,,,,,,,,,,,,
87,14.0,,5.0,,,,,,,,,11.0,,1.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,10.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,9.0,,0.0,,,,,,,,,9.0,,1.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
88,16.0,,6.0,,,,,,,,,11.0,,1.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,10.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,11.0,,1.0,,,,,,,,,9.0,,0.0,,,,,,,,,11.0,,2.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
89,44.0,,22.0,,,,,,,,,30.0,,7.0,,,,,,,,,16.0,14.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,27.0,,5.0,,,,,,,,,29.0,,6.0,,,,,,,,,29.0,,6.0,,,,,,,,,27.0,,5.0,,,,,,,,,25.0,,3.0,,,,,,,,,29.0,13.0,12.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
90,150.0,,79.0,,,,,,,,,112.0,,41.0,,,,,,,,,29.0,26.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,101.0,,31.0,,,,,,,,,105.0,,34.0,,,,,,,,,111.0,,40.0,,,,,,,,,101.0,,31.0,,,,,,,,,106.0,,36.0,,,,,,,,,,,,,,,,,,,
91,53.0,,38.0,,,,,,,,,46.0,,31.0,,,,,,,,,50.0,35.0,13.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,32.0,,15.0,,,,,,,,,33.0,,16.0,,,,,,,,,51.0,,39.0,,,,,,,,,32.0,,15.0,,,,,,,,,36.0,,20.0,,,,,,,,,48.0,30.0,16.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
92,92.0,,46.0,,,,,,,,,70.0,,24.0,,,,,,,,,22.0,19.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,61.0,,16.0,,,,,,,,,57.0,,11.0,,,,,,,,,60.0,,14.0,,,,,,,,,59.0,,14.0,,,,,,,,,57.0,,12.0,,,,,,,,,57.0,38.0,17.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
93,44.0,,23.0,,,,,,,,,39.0,,18.0,,,,,,,,,18.0,12.0,4.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,28.0,,8.0,,,,,,,,,28.0,,7.0,,,,,,,,,28.0,,7.0,,,,,,,,,28.0,,8.0,,,,,,,,,21.0,,2.0,,,,,,,,,26.0,13.0,11.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
94,56.0,,27.0,,,,,,,,,40.0,,11.0,,,,,,,,,14.0,12.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,33.0,,5.0,,,,,,,,,,,,,,,,,,,,40.0,,11.0,,,,,,,,,32.0,,4.0,,,,,,,,,38.0,,10.0,,,,,,,,,30.0,19.0,9.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
95,42.0,,18.0,,,,,,,,,34.0,,10.0,,,,,,,,,6.0,4.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,25.0,,2.0,,,,,,,,,28.0,,4.0,,,,,,,,,30.0,,6.0,,,,,,,,,24.0,,1.0,,,,,,,,,30.0,,7.0,,,,,,,,,,,,,,,,,,,
96,7.0,,2.0,,,,,,,,,6.0,,1.0,,,,,,,,,5.0,2.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,6.0,,2.0,,,,,,,,,6.0,,1.0,,,,,,,,,7.0,,4.0,,,,,,,,,5.0,,1.0,,,,,,,,,5.0,,1.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
97,35.0,,18.0,,,,,,,,,25.0,,8.0,,,,,,,,,20.0,12.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,24.0,,8.0,,,,,,,,,,,,,,,,,,,,26.0,,9.0,,,,,,,,,23.0,,7.0,,,,,,,,,24.0,,8.0,,,,,,,,,27.0,12.0,13.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
98,19.0,,8.0,,,,,,,,,13.0,,2.0,,,,,,,,,4.0,2.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,11.0,,1.0,,,,,,,,,15.0,,4.0,,,,,,,,,17.0,,6.0,,,,,,,,,10.0,,0.0,,,,,,,,,16.0,,6.0,,,,,,,,,8.0,5.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
99,83.0,,44.0,,,,,,,,,63.0,,24.0,,,,,,,,,14.0,12.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,55.0,,18.0,,,,,,,,,52.0,,13.0,,,,,,,,,56.0,,17.0,,,,,,,,,52.0,,15.0,,,,,,,,,50.0,,12.0,,,,,,,,,55.0,31.0,22.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
100,23.0,,12.0,,,,,,,,,20.0,,9.0,,,,,,,,,13.0,10.0,1.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,13.0,,3.0,,,,,,,,,14.0,,3.0,,,,,,,,,16.0,,5.0,,,,,,,,,13.0,,3.0,,,,,,,,,10.0,,1.0,,,,,,,,,14.0,7.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
101,71.0,,38.0,,,,,,,,,57.0,,24.0,,,,,,,,,26.0,22.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,46.0,,14.0,,,,,,,,,,,,,,,,,,,,50.0,,17.0,,,,,,,,,44.0,,12.0,,,,,,,,,41.0,,9.0,,,,,,,,,,,,,,,,,,,
102,132.0,,73.0,,,,,,,,,79.0,,20.0,,,,,,,,,56.0,54.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,79.0,,21.0,,,,,,,,,80.0,,21.0,,,,,,,,,83.0,,24.0,,,,,,,,,76.0,,18.0,,,,,,,,,68.0,,10.0,,,,,,,,,67.0,61.0,4.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
103,41.0,,22.0,,,,,,,,,32.0,,13.0,,,,,,,,,10.0,10.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,31.0,,12.0,,,,,,,,,29.0,,10.0,,,,,,,,,33.0,,14.0,,,,,,,,,29.0,,10.0,,,,,,,,,21.0,,2.0,,,,,,,,,31.0,15.0,16.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
104,266.0,,134.0,,,,,,,,,191.0,,59.0,,,,,,,,,70.0,68.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,167.0,,36.0,,,,,,,,,168.0,,36.0,,,,,,,,,190.0,,58.0,,,,,,,,,160.0,,29.0,,,,,,,,,158.0,,27.0,,,,,,,,,211.0,109.0,100.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
105,108.0,,65.0,,,,,,,,,92.0,,49.0,,,,,,,,,74.0,33.0,39.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,87.0,,43.0,,,,,,,,,88.0,,45.0,,,,,,,,,90.0,,47.0,,,,,,,,,87.0,,44.0,,,,,,,,,87.0,,44.0,,,,,,,,,85.0,40.0,43.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
106,104.0,,54.0,,,,,,,,,71.0,,21.0,,,,,,,,,37.0,32.0,3.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,64.0,,15.0,,,,,,,,,65.0,,15.0,,,,,,,,,86.0,,38.0,,,,,,,,,61.0,,12.0,,,,,,,,,61.0,,12.0,,,,,,,,,55.0,45.0,8.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
107,78.0,,34.0,,,,,,,,,65.0,,21.0,,,,,,,,,8.0,6.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,56.0,,14.0,,,,,,,,,65.0,,21.0,,,,,,,,,72.0,,28.0,,,,,,,,,54.0,,12.0,,,,,,,,,54.0,,11.0,,,,,,,,,78.0,41.0,35.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
108,132.0,,66.0,,,,,,,,,90.0,,24.0,,,,,,,,,44.0,42.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,89.0,,23.0,,,,,,,,,83.0,,17.0,,,,,,,,,97.0,,31.0,,,,,,,,,84.0,,18.0,,,,,,,,,84.0,,18.0,,,,,,,,,75.0,59.0,16.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
109,69.0,,38.0,,,,,,,,,56.0,,25.0,,,,,,,,,20.0,16.0,4.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,46.0,,15.0,,,,,,,,,45.0,,14.0,,,,,,,,,47.0,,16.0,,,,,,,,,46.0,,15.0,,,,,,,,,33.0,,2.0,,,,,,,,,23.0,16.0,7.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
110,68.0,,38.0,,,,,,,,,46.0,,16.0,,,,,,,,,29.0,26.0,3.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,42.0,,12.0,,,,,,,,,43.0,,13.0,,,,,,,,,52.0,,23.0,,,,,,,,,42.0,,12.0,,,,,,,,,38.0,,8.0,,,,,,,,,27.0,22.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
111,168.0,,91.0,,,,,,,,,125.0,,48.0,,,,,,,,,49.0,44.0,5.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,114.0,,37.0,,,,,,,,,109.0,,32.0,,,,,,,,,114.0,,37.0,,,,,,,,,110.0,,33.0,,,,,,,,,93.0,,16.0,,,,,,,,,161.0,83.0,78.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
112,122.0,,70.0,,,,,,,,,87.0,,35.0,,,,,,,,,45.0,38.0,7.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,81.0,,29.0,,,,,,,,,80.0,,28.0,,,,,,,,,83.0,,31.0,,,,,,,,,81.0,,29.0,,,,,,,,,70.0,,18.0,,,,,,,,,58.0,41.0,17.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
113,101.0,,52.0,,,,,,,,,60.0,,11.0,,,,,,,,,42.0,40.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,63.0,,14.0,,,,,,,,,65.0,,16.0,,,,,,,,,68.0,,19.0,,,,,,,,,60.0,,11.0,,,,,,,,,62.0,,13.0,,,,,,,,,63.0,47.0,16.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
114,51.0,,24.0,,,,,,,,,36.0,,9.0,,,,,,,,,17.0,15.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,35.0,,8.0,,,,,,,,,35.0,,8.0,,,,,,,,,37.0,,10.0,,,,,,,,,34.0,,7.0,,,,,,,,,35.0,,8.0,,,,,,,,,49.0,24.0,25.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
115,33.0,,15.0,,,,,,,,,23.0,,5.0,,,,,,,,,5.0,5.0,0.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,21.0,,3.0,,,,,,,,,22.0,,4.0,,,,,,,,,22.0,,4.0,,,,,,,,,21.0,,3.0,,,,,,,,,18.0,,0.0,,,,,,,,,7.0,5.0,2.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
116,125.0,,68.0,,,,,,,,,85.0,,28.0,,,,,,,,,44.0,38.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,78.0,,21.0,,,,,,,,,78.0,,21.0,,,,,,,,,84.0,,27.0,,,,,,,,,74.0,,17.0,,,,,,,,,71.0,,14.0,,,,,,,,,73.0,47.0,26.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
117,97.0,,54.0,,,,,,,,,76.0,,42.0,,,,,,,,,31.0,23.0,8.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,61.0,,18.0,,,,,,,,,62.0,,19.0,,,,,,,,,68.0,,35.0,,,,,,,,,61.0,,18.0,,,,,,,,,60.0,,18.0,,,,,,,,,,,,,,,,,,,
118,336.0,,179.0,,,,,,,,,243.0,,86.0,,,,,,,,,47.0,39.0,8.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,222.0,,65.0,,,,,,,,,212.0,,55.0,,,,,,,,,223.0,,66.0,,,,,,,,,216.0,,59.0,,,,,,,,,208.0,,51.0,,,,,,,,,260.0,128.0,132.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
119,213.0,,113.0,,,,,,,,,157.0,,57.0,,,,,,,,,31.0,23.0,6.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,143.0,,44.0,,,,,,,,,136.0,,36.0,,,,,,,,,150.0,,50.0,,,,,,,,,137.0,,38.0,,,,,,,,,136.0,,37.0,,,,,,,,,153.0,84.0,67.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
120,183.0,,104.0,,,,,,,,,130.0,,51.0,,,,,,,,,57.0,49.0,8.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,115.0,,36.0,,,,,,,,,113.0,,34.0,,,,,,,,,139.0,,62.0,,,,,,,,,192.0,,113.0,,,,,,,,,111.0,,32.0,,,,,,,,,141.0,80.0,59.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
121,199.0,,111.0,,,,,,,,,143.0,,54.0,,,,,,,,,67.0,55.0,12.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,129.0,,40.0,,,,,,,,,126.0,,37.0,,,,,,,,,136.0,,47.0,,,,,,,,,125.0,,36.0,,,,,,,,,121.0,,32.0,,,,,,,,,162.0,97.0,65.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
122,167.0,,96.0,,,,,,,,,125.0,,54.0,,,,,,,,,50.0,40.0,10.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,,99.0,,28.0,,,,,,,,,104.0,,33.0,,,,,,,,,,,,,,,,,,,,177.0,,106.0,,,,,,,,,96.0,,25.0,,,,,,,,,152.0,72.0,80.0,0.0,0.0,-10.0,,0.0,0.0,-10.0,
